id,sex,employment,married,income,signal1
100001,M,employed,1,8139,.66407311
100002,M,employed,1,12794,.24829492
100003,M,employed,1,15755,.63811964
100004,F,employed,1,768163,.57576787
100005,M,employed,1,27633,.65195614
100006,F,employed,1,22519,.88881445
100007,M,student,0,0,0
100008,F,unemployed,1,16930,.55956399
100009,F,employed,1,13792,.42536622
100010,M,unemployed,1,11199,.8502031
100011,M,employed,1,15054,.39082626
100012,M,employed,1,13897,.54407638
100013,F,retired,0,5830,.35530904
100014,M,retired,1,6008,.26909235
100015,M,student,0,23176,0
100016,M,student,0,5724,.95874172
100017,F,employed,1,16530,.61262941
100018,F,employed,0,15812,.37186992
100019,M,student,0,0,.19497448
100020,F,student,0,0,.75014687
100021,F,retired,1,11380,0
100022,F,student,0,61174,.74959379
100023,F,employed,1,6526,.4369719
100024,M,unemployed,0,0,0
100025,M,employed,1,54614,0
100026,F,employed,0,82098,.78670657
100027,F,student,0,0,.95473689
100028,M,retired,0,9849,.23009953
100029,M,employed,1,38615,.79510486
100030,F,student,0,0,.7497071
100031,M,employed,0,44552,0
100032,M,student,0,0,.4938651
100033,F,employed,0,6521,0
100034,M,employed,1,9663,0
100035,M,employed,1,41000,.13642704
100036,M,employed,1,31780,.25397834
100037,F,retired,1,6117,.010962566
100038,F,employed,1,6090,0
100039,M,employed,1,9489,.50282443
100040,M,retired,0,3590,0
100041,M,employed,0,8107,0
100042,F,retired,0,10026,0
100043,F,unemployed,1,0,.038959809
100044,M,employed,0,43745,0
100045,M,employed,1,19389,.84054613
100046,M,employed,1,23980,.06594675
100047,M,student,1,0,.94524276
100048,F,unemployed,1,14254,.55525702
100049,M,unemployed,1,35888,0
100050,M,employed,1,30227,0
100051,M,student,1,0,.94482505
100052,F,retired,1,9105,0
100053,M,student,0,0,.48869851
100054,M,retired,1,3724,.27673301
100055,F,retired,0,4071,.32820863
100056,F,unemployed,1,11677,.68578535
100057,M,student,0,21037,.84330904
100058,M,employed,1,480873,0
100059,F,unemployed,1,0,0
100060,F,student,1,0,.97602677
100061,M,employed,0,6726,0
100062,F,employed,1,7879,.12820999
100063,M,employed,1,17630,.51566339
100064,M,retired,0,1660,.010883128
100065,M,student,0,27744,.77704841
100066,F,employed,0,45603,.74858767
100067,M,retired,1,23864,0
100068,F,unemployed,0,33731,0
100069,F,retired,0,3337,.27467528
100070,F,employed,0,6099,.26233992
100071,F,employed,1,5430,.56391317
100072,M,employed,1,62360,.74240845
100073,M,unemployed,0,0,.10978743
100074,F,employed,1,5079,.73332787
100075,M,unemployed,1,11998,0
100076,F,employed,1,6013,.98147029
100077,M,student,0,8241,.97158295
100078,M,unemployed,1,0,.6831184
100079,F,student,0,0,.46911079
100080,M,employed,1,12382,.12775078
100081,F,employed,1,10839,.16735017
100082,F,student,0,0,.68659985
100083,M,employed,1,15000,.60788023
100084,M,retired,1,12330,.24412508
100085,M,employed,0,6132,.60098147
100086,M,retired,1,5599,0
100087,M,employed,0,12790,.75629681
100088,M,student,1,0,.15352255
100089,F,employed,0,6159,.50066513
100090,M,student,0,0,.016006371
100091,M,employed,1,15606,.73308551
100092,F,retired,1,30766,.33770615
100093,F,employed,1,7866,.53833926
100094,M,employed,1,49436,.3241612
100095,M,employed,1,20262,.79880422
100096,F,employed,1,8886,.41758293
100097,F,student,0,17308,0
100098,M,employed,1,26354,.48260885
100099,M,student,0,15737,.38779336
100100,F,employed,1,5076,0
100101,M,employed,0,5211,.29519096
100102,F,employed,1,10006,.8259787
100103,F,retired,0,6343,0
100104,F,unemployed,1,0,0
100105,M,employed,1,13171,.79695785
100106,F,student,0,0,.92488909
100107,F,retired,0,4017,.040660791
100108,F,student,0,0,.12285183
100109,M,employed,1,9266,.55884218
100110,M,unemployed,1,0,.88386822
100111,M,retired,1,6607,.032033175
100112,F,employed,1,8914,.83060229
100113,M,employed,1,20561,.13375898
100114,F,employed,1,23867,.53358835
100115,F,employed,0,13498,.30929416
100116,F,retired,1,4669,.23471391
100117,F,employed,1,34344,.012371336
100118,M,employed,0,5164,0
100119,M,employed,1,7034,.28915063
100120,F,retired,1,2601,.21950105
100121,F,employed,1,8097,.65134555
100122,M,employed,1,10315,.56622732
100123,M,employed,1,9118,.010097006
100124,M,employed,1,19864,.87587535
100125,F,employed,1,71270,0
100126,F,student,0,0,.94802082
100127,F,employed,1,4933,.29436135
100128,M,employed,1,25208,.76572996
100129,F,retired,0,8665,0
100130,F,employed,1,17323,0
100131,F,retired,1,2811,0
100132,M,employed,1,9713,.54647619
100133,M,employed,1,48148,.71483427
100134,M,student,0,0,.90757167
100135,M,employed,0,6320,.82224447
100136,M,unemployed,1,0,.64804202
100137,M,employed,1,16777,.59819746
100138,F,employed,1,10387,.62925541
100139,F,unemployed,1,25423,.47444537
100140,F,employed,1,42066,.93126976
100141,F,employed,1,34830,0
100142,F,unemployed,0,47106,.34039342
100143,M,student,1,0,.9452498
100144,F,student,0,0,.072943203
100145,F,employed,1,5063,.32545894
100146,F,unemployed,0,0,.56696159
100147,M,employed,1,11655,.54908854
100148,M,employed,0,12074,.79926276
100149,F,employed,1,5856,.60166615
100150,F,employed,1,32778,.29656917
100151,F,employed,1,21573,0
100152,M,retired,0,4351,0
100153,F,employed,0,51134,.50408375
100154,F,employed,1,7206,.66109139
100155,F,employed,1,29774,.61466372
100156,F,unemployed,1,0,.62615901
100157,F,student,1,0,.89619994
100158,M,employed,0,7144,.22959368
100159,F,employed,1,24549,.066612102
100160,M,unemployed,0,10304,.72378302
100161,M,employed,1,15023,.86399883
100162,F,employed,1,5741,.66769844
100163,F,student,0,0,.88725585
100164,F,unemployed,0,7694,.088520661
100165,M,employed,0,48219,.79249871
100166,M,employed,1,16952,.53797561
100167,M,employed,0,12607,.61428267
100168,M,employed,1,11890,.52126515
100169,M,retired,1,24321,0
100170,F,employed,1,8733,0
100171,M,employed,1,6714,.40715256
100172,M,employed,0,12601,.72410488
100173,F,retired,1,3286,.019257708
100174,M,employed,0,186470,.57428503
100175,M,employed,0,8449,.69746697
100176,M,employed,1,11253,.78303671
100177,M,employed,1,5338,0
