sex,employment,married,income,signal1,signal2,signal3,default,PD1,PD2,PD3
M,employed,1,57683,0.52441436,0.0,0.43021169,0,0.005059218,0.0072726207,0.0057360446
F,retired,0,23910,0.0,0.0,0.0,0,0.014484808,0.016153032,0.016282784
M,retired,1,31777,0.19502304,0.096500762,0.0,1,0.021095227,0.026531035,0.016735254
M,retired,1,12183,0.0,0.37803015,0.24165149,0,0.0402214,0.033859983,0.040160716
M,employed,0,19961,0.0,0.80245084,0.0,0,0.038880073,0.023564555,0.040471267
M,unemployed,0,8270,0.14192721,0.31879458,0.91806501,0,0.15341078,0.10832464,0.050567187
M,retired,1,8967,0.27882558,0.0,0.21624546,0,0.0635579,0.06483379,0.06387331
M,employed,1,7487,0.0,0.0,0.31897679,1,0.1380619,0.13853085,0.154842
M,employed,0,7694,0.091397703,0.82894754,0.35722807,0,0.21901865,0.09400602,0.13862512
M,student,0,0,0.92559344,0.0,0.95002955,0,0.11851647,0.185549,0.1327419
M,student,0,0,0.84794384,0.93892181,0.91958952,0,0.12501198,0.11782886,0.12648112
M,employed,1,9410,0.36475575,0.21811208,0.38341728,1,0.122576125,0.1292128,0.11810092
M,employed,1,47839,0.60395074,0.21777382,0.0,0,0.0053153075,0.009151882,0.0071052234
M,employed,1,13097,0.57766783,0.53945488,0.0,0,0.050097488,0.06016667,0.06865469
F,employed,0,7372,0.66351885,0.0,0.0,0,0.105904415,0.14422175,0.15570329
F,student,1,0,0.96935463,0.71248478,0.74513024,0,0.12127341,0.16162008,0.16252226
F,unemployed,1,0,0.0,0.0,0.65819567,0,0.2549786,0.24950142,0.22210045
M,student,0,0,0.78631687,0.78670955,0.93834335,0,0.15789658,0.14299628,0.12889557
M,employed,0,29389,0.64840931,0.0,0.099276401,0,0.02068955,0.028456394,0.039831564
M,employed,1,9125,0.22801648,0.51501799,0.0,0,0.1227232,0.09857168,0.11141142
M,employed,0,16768,0.0,0.65155214,0.0,0,0.05437792,0.03810764,0.059838805
F,retired,1,4549,0.0,0.3521288,0.024832614,0,0.09897941,0.07410637,0.16787228
M,employed,1,28716,0.022360591,0.0,0.0,0,0.041553676,0.026596712,0.025639687
M,employed,1,25179,0.51514459,0.7061038,0.84544516,0,0.023067767,0.015153833,0.016096182
F,student,1,0,0.80047905,0.82577276,0.66750592,0,0.15794572,0.1465234,0.16732962
F,employed,1,15699,0.28647894,0.56587756,0.3431007,0,0.06192455,0.04459061,0.06576384
F,student,0,5110,0.0,0.20306343,0.95029962,0,0.11957141,0.16415171,0.092694215
M,employed,0,13968,0.012949288,0.67281717,0.70829803,0,0.09597399,0.037573144,0.038874436
M,retired,1,8105,0.0,0.0,0.39543992,0,0.0692109,0.07022172,0.07712337
M,student,0,0,0.3572568,0.87190151,0.7975384,0,0.22667919,0.13930199,0.13703579
F,unemployed,1,14539,0.0,0.52159178,0.0,0,0.04015777,0.040238816,0.03944178
F,employed,1,12417,0.10525584,0.0,0.35827705,0,0.11107414,0.07252607,0.08047658
