id,own,competing2,competing3,borrowertype,accepted,default,profit
1,.034349125,.064999998,.025795907,3,0,0,
2,.18689728,.15000001,.11028863,1,0,1,
3,.0365461,.027933715,.10013537,3,0,0,
4,.094902992,.14749999,.090256438,3,0,0,
5,.13859808,,.19421902,1,1,0,1385.9808
6,.1578728,.2075,.1409796,3,0,0,
7,.033735596,.01959,.010871042,1,0,0,
8,.3612673,,,3,1,0,3612.6731
9,.02973067,.01959,.023821879,2,0,0,
10,.18466975,.11255147,,2,0,0,
11,.10098407,.16772293,.097205132,2,0,1,
12,.25339824,,,3,1,0,2533.9824
13,.037224941,.052499998,.025072053,3,0,0,
14,.25498044,.1684275,.080636151,1,0,1,
15,.036892124,.020190692,.025638588,3,0,0,
16,.073577367,.045452576,.10877713,3,0,0,
17,.022166664,.045000002,.093358956,1,1,0,221.66664
18,.15634499,.19750001,.1988928,1,1,0,1563.45
19,.07346154,.036433805,.028982822,3,0,0,
20,.096990451,.092500001,.11528819,3,0,0,
21,.019196987,.029999999,.0042569041,3,0,0,
22,.070733391,.097265616,.10638598,3,1,0,707.33392
23,.032448087,.024195639,.023745172,2,0,0,
24,.094415158,.10577046,.12958501,3,1,0,944.15155
25,.25714299,.28,.18912673,1,0,0,
26,.2816903,.30000001,,3,1,0,2816.9031
27,.43081963,.22225472,,1,0,1,
28,.039193049,.077500001,.098054491,2,1,0,391.93048
29,.13611767,.21250001,,2,1,0,1361.1766
30,.17600815,.17283542,,3,0,0,
31,.35313833,,.21460658,2,0,0,
32,.14580958,.1725,.11219305,1,0,0,
33,.14419621,.175,.085088216,2,0,0,
34,.060788736,.07,.047526378,1,1,0,607.88733
35,.22979617,.155,.24346006,2,0,0,
36,.28848612,,.28547615,3,0,0,
37,.20248316,.30000001,.12710252,2,0,0,
38,.077265732,.115,.13580367,1,1,0,772.65735
39,.13096757,.10313173,.085727699,1,0,0,
40,.21361877,.2475,.22477046,1,1,0,2136.1877
41,.14566725,.18146856,.19510935,2,1,0,1456.6726
42,.13921933,.10773344,,1,0,0,
43,.148976,.1875,,2,1,0,1489.76
44,.13658589,.17956024,,1,1,0,1365.8589
45,.06546621,.09876515,.10358276,1,1,0,654.66211
46,.048700869,.034613933,.10164118,1,1,0,487.0087
47,.17319961,.2,.15089878,3,0,0,
48,.13043876,.26499999,.15830484,2,1,0,1304.3876
49,.29686567,,.17079322,1,0,1,
50,.039019849,.0425,.01679457,1,0,0,
51,.093772829,.18160507,.10228689,2,1,0,937.72827
52,.55982941,,.3989813,3,0,0,
53,.054733772,.09092477,.047797725,2,0,0,
54,.10274599,.13,.049040176,2,0,0,
55,.050059222,.055,.021499438,3,0,0,
56,.1744381,.11348169,.23557945,3,0,0,
57,.18766662,.16500001,.10008338,2,0,0,
58,.14398502,.20999999,,2,1,1,-10000
59,.10773719,.047700327,.13189135,3,0,0,
60,.1288324,.14,,2,0,0,
61,.14380269,.16941951,.11337584,2,0,0,
62,.017313538,.029999999,.090252377,2,0,0,
63,.25803569,.17,.17006068,3,0,0,
64,.033144798,.01959,.013684209,1,1,0,331.44797
65,.10119735,.10885154,.14169422,3,1,0,1011.9734
66,.15418474,.12915711,,1,0,0,
67,.11439916,.086589195,.12270764,3,0,1,
68,.19076051,.11244386,,3,0,0,
69,.020718854,.0425,.011522898,1,1,0,207.18854
70,.12134065,.11498905,.093243383,3,0,0,
71,.044683937,.07,.098579638,3,1,0,446.83936
72,.05518844,.1025,.037591446,3,0,0,
73,.30462384,.20926861,,3,0,0,
74,.039046116,.01959,.011879601,1,0,0,
75,.30267268,,,2,1,0,3026.7268
76,.033047345,.045000002,.093851939,3,1,0,330.47345
77,.57873827,,.21566084,3,0,0,
78,.064362183,.085882455,.10439745,1,1,0,643.62183
79,.16295788,.19268595,,2,1,0,1629.5787
80,.13963355,.17749999,.12244727,2,0,0,
81,.098788001,.1225,.17716086,2,1,0,987.88
82,.13719985,.14704451,.10259475,1,0,0,
83,.12400973,.10753451,,2,0,0,
84,.20250259,,.14565462,2,0,0,
85,.096059322,.2075,.1049704,3,0,0,
86,.11063606,.15000001,.14219861,1,1,0,1106.3606
87,.077862084,.1425,,2,1,0,778.62085
88,.053988844,.1025,.095130578,1,1,0,539.88843
89,.24968575,,,2,1,0,2496.8574
90,.20655644,,,3,1,0,2065.5645
91,.34357339,,.36233926,3,0,0,
92,.12874725,.23,,1,1,0,1287.4725
93,.14447452,.2475,.14560322,2,1,0,1444.7452
94,.16295788,,.189567,1,1,0,1629.5787
95,.11367709,.059999999,.10975875,1,0,0,
96,.16020274,,.16906857,3,0,0,
97,.026856124,.050000001,.097335666,1,1,0,268.56125
98,.036778335,.026359737,.094010621,1,1,0,367.78336
99,.11299447,.115,.23801996,3,1,0,1129.9447
100,.018743828,.025,.0062528313,2,0,0,
101,.13914149,.2028445,.12923758,1,1,0,1391.4148
102,.25159881,.2375,.30441812,1,1,0,2515.988
103,.030567333,.047499999,.093516394,1,1,0,305.67334
104,.036347196,.079999998,.093939833,1,1,0,363.47195
105,.18251255,.1925,,3,1,0,1825.1255
106,.14419621,.1725,.10174458,2,0,0,
107,.11454964,.15539126,.11128385,3,0,0,
108,.36080414,.10050703,.15796275,2,0,0,
109,.12882704,,,1,1,0,1288.2704
110,.3572433,,.18028997,2,0,0,
111,.018393997,.032499999,.092518143,3,1,0,183.93997
112,.14641276,.17,.11484861,1,0,0,
113,.048637751,.10009197,.051170781,3,0,0,
114,.038569417,.01959,.10156806,2,0,0,
115,.036841996,.031100653,.09876667,1,1,0,368.41995
116,.058247991,.085000001,.024908982,1,0,0,
117,.17046432,,.1881462,3,0,1,
118,.057261616,.075000003,.04031967,2,0,0,
119,.053471256,.042956091,.14633723,2,0,0,
120,.18437608,.22381487,.28272814,1,1,0,1843.7607
121,.11937882,.18000001,.14352541,2,1,0,1193.7882
122,.047494665,.048428997,.038227331,1,1,0,474.94666
123,.069262967,.064999998,.1189479,1,1,0,692.62964
124,.016313478,.029999999,.09059573,2,0,0,
125,.094347253,.09828838,.1391481,2,0,1,
126,.17235021,,,1,1,0,1723.5021
127,.33312318,.12765051,,3,0,0,
128,.1356927,.097499996,.1231799,1,0,1,
129,.046603005,.059375647,.027951665,2,0,0,
130,.25820041,,,2,1,0,2582.0042
131,.3572433,,,2,1,1,-10000
132,.04349291,.095001601,.099035062,3,1,0,434.92911
133,.05617933,.067500003,.093699917,1,1,0,561.79327
134,.074661784,.048130807,.12388968,1,0,0,
135,.032507282,.021626346,.096122153,2,0,0,
136,.020719856,.035,.0021557347,2,0,0,
137,.023981925,.01981267,.097087249,2,0,0,
138,.17925879,.14749999,.10700752,3,0,0,
139,.016230159,.0275,.090352356,3,1,0,162.30159
140,.031331364,.047499999,.018860804,1,1,0,313.31363
141,.13816725,.175,.19523659,1,1,0,1381.6725
142,.074766047,.11,.080307811,2,1,1,-10000
143,.11921715,.10514988,.10568222,2,0,0,
144,.17690074,.2025,,2,1,0,1769.0074
145,.23922931,,,1,1,1,-10000
146,.053130329,.085383885,.033777915,2,0,0,
147,.10867444,.092699423,,2,0,1,
148,.078298613,.059272781,.061971627,3,0,0,
149,.065863617,.052538939,.035922978,1,0,0,
150,.048304308,.07,.027325934,3,0,0,
151,.16117367,.13408278,.12482232,3,0,0,
152,.10211668,.10199033,.160614,1,1,0,1021.1668
153,.067690372,.11,.073708653,3,0,0,
154,.059923012,.094999999,.064320527,3,0,0,
155,.038451668,.032357987,.036588237,1,1,0,384.51669
156,.11619797,,.11309909,2,0,0,
157,.21520668,.30000001,,3,1,0,2152.0669
158,.021032641,.01959,.099449776,3,0,0,
159,.025772847,.059999999,.018935118,1,1,0,257.72849
160,.11419301,.1825,.20144953,1,1,1,-10000
161,.3612673,,.28720099,3,0,0,
162,.077739544,.11,.10062291,3,1,0,777.39545
163,.11326353,.10367781,.076045558,2,0,0,
164,.67661744,,.19637132,1,0,0,
165,.068634324,.079999998,.11979438,2,0,0,
166,.09158688,.082500003,.1118468,3,0,0,
167,.020670228,.052499998,.0098175844,1,1,0,206.70227
168,.016614731,.01959,.0062469025,3,0,0,
169,.16106635,.26499999,,1,1,0,1610.6636
170,.09192653,.105,.12447269,2,0,0,
171,.37918895,,,1,1,1,-10000
172,.042737182,.020736013,.10313345,1,0,0,
173,.036349103,.059999999,.014762821,3,0,0,
174,.017263759,.01959,.0045402525,3,0,0,
175,.10163463,.10446057,.11177819,2,0,0,
176,.31078404,.20801355,,1,0,0,
177,.3572433,.25999999,.30442372,2,0,0,
178,.2986204,.23,,3,0,0,
179,.1578728,.17230773,,2,0,0,
180,.05522991,.072499998,.031290535,3,0,0,
181,.16287656,.090000004,.10489007,1,0,0,
182,.19756037,.26249999,.30141771,1,1,0,1975.6038
183,.060701162,.092500001,.044409737,3,0,0,
184,.021074932,.01959,.092163987,2,0,0,
185,.11033837,.048152108,.1194092,3,0,0,
186,.26323074,.15809624,.16374007,3,0,1,
187,.053000201,.086354524,.035053067,2,0,0,
188,.0927765,.10104166,.14745502,1,1,0,927.76501
189,.076293595,.089167207,,1,1,0,762.93597
190,.089563914,.13500001,.11763868,3,1,0,895.63916
191,.02300803,.032499999,.0020933964,3,0,0,
192,.057935532,.1275,.10979772,2,1,0,579.35535
193,.04265926,.024416668,.095698543,3,0,0,
194,.15454531,.1506812,,1,1,1,-10000
195,.13963355,.105,.068870999,2,0,0,
196,.041219484,.085000001,.018358728,1,0,0,
197,.089108229,.14,.12242907,3,1,0,891.08228
198,.3572433,,.31355193,3,0,0,
199,.35019499,,.30442372,3,0,0,
200,.11566507,.1675,.22477046,2,1,0,1156.6508
201,.045331784,.02892855,.022986341,3,0,0,
202,.17264822,.30000001,.22249088,3,1,0,1726.4822
203,.20250259,,.22099015,3,0,1,
204,.053103026,.092235222,.12035859,1,1,0,531.03027
205,.081788592,.1,.085073702,2,0,0,
206,.18260607,,,1,1,0,1826.0607
207,.16058373,.1636337,,2,0,0,
208,.19050078,.2325,.1448361,1,0,0,
209,.16058373,.17240617,.19125026,3,1,0,1605.8374
210,.098129794,.075000003,,1,0,0,
211,.3572433,,.30442372,3,0,0,
212,.15753177,.17258109,.36399928,2,0,0,
213,.13892056,.1275,,2,0,0,
214,.15525255,.19,.14149019,2,0,0,
215,.11220819,.1075,.19889355,2,0,0,
216,.074206062,.031478107,.10076862,3,0,0,
217,.079547614,.09929733,.053310987,2,0,0,
218,.016272889,.01959,.0042360011,3,0,0,
219,.034212284,.064999998,.10191415,2,1,0,342.12283
220,.11173014,.21239524,.2443676,2,1,0,1117.3014
221,.25074178,.16884808,.17681104,2,0,0,
222,.114335,.22258332,,2,1,1,-10000
223,.14287765,.14749999,,3,1,0,1428.7765
224,.1648809,.15349418,,3,0,0,
225,.44569236,.25749999,.23738146,3,0,1,
226,.21281996,,,3,1,0,2128.1997
227,.17374031,,.18305922,1,1,0,1737.4031
228,.034411855,.035,.090872794,3,1,0,344.11856
229,.035215162,.01959,.017258648,1,1,0,352.15161
230,.06054033,.12,.10588807,2,1,0,605.40332
231,.038434595,.01959,.096971922,1,1,0,384.34595
232,.14843622,.15006125,.148874,2,0,0,
233,.11557336,.095884904,.05787383,3,0,0,
234,.017300308,.032499999,.092038758,3,1,0,173.00308
235,.018545792,.01959,.0040119751,3,0,0,
236,.15649097,.1925,,1,1,1,-10000
237,.13450198,.17535225,.19598435,1,1,0,1345.0198
238,.10142454,.1725,.13223183,3,1,1,-10000
239,.14545706,.175,,3,1,0,1454.5706
240,.17789437,,,3,1,0,1778.9437
241,.022447761,.01959,.0059043178,1,1,0,224.47762
242,.018036665,.037500001,.0096128155,1,1,0,180.36665
243,.019787924,.0425,.091963835,3,1,0,197.87924
244,.15228873,.20074148,.18502642,1,1,0,1522.8873
245,.13231438,.1375,,2,0,0,
246,.073474079,.105,.12284888,3,1,0,734.74078
247,.2054729,.25749999,,1,1,0,2054.729
248,.20358315,.077500001,.18421966,1,0,0,
249,.057778884,.043465227,.1070036,1,1,0,577.78882
250,.017570196,.0425,.092695244,1,1,0,175.70195
251,.24609762,,.37287366,1,1,0,2460.9763
252,.031137981,.01959,.094929829,2,0,0,
253,.1012442,.12832402,.12217166,2,1,0,1012.442
254,.17343026,,,1,1,0,1734.3026
255,.14693424,.27500001,.18571752,3,1,0,1469.3424
256,.19874056,.22187841,.22392015,2,1,0,1987.4055
257,.17646889,.1825,,1,1,0,1764.689
258,.17800356,.090000004,.13523063,3,0,0,
259,.15297087,.19937907,.20362203,2,1,0,1529.7086
260,.14595591,.19358604,,2,1,0,1459.5591
261,.44493285,.19830976,,2,0,0,
262,.059418626,.099076867,.10299417,1,1,0,594.18628
263,.13629165,.14277373,.086268485,1,0,0,
264,.089366287,.082787685,.059921581,2,0,0,
265,.163504,,.34581104,2,1,0,1635.04
266,.11409891,.12785004,.041309789,1,0,0,
267,.19355871,.21250001,,1,1,0,1935.587
268,.34717554,,.319473,3,0,0,
269,.19606915,.21271893,.40448135,3,1,0,1960.6915
270,.17517611,.2375,,1,1,0,1751.7611
271,.059215579,.077500001,.10252972,1,1,0,592.15576
272,.21530211,.17,,3,0,0,
273,.25747153,,.24702227,1,1,1,-10000
274,.037710264,.02394159,.099969164,1,1,0,377.10263
275,.042737182,.023556316,.022489762,3,0,1,
276,.046565473,.082500003,.10298739,1,1,0,465.65472
277,.13412336,.145,.13012032,2,0,1,
278,.23978873,.14700001,,3,0,1,
279,.14564376,.13249999,,2,0,0,
280,.25152978,,.55970448,2,1,1,-10000
281,.095275357,.18216886,.075958297,1,1,0,952.7536
282,.17409609,.1718618,.1669749,3,0,0,
283,.016838051,.0275,.001659362,3,0,0,
284,.20155109,.1725,,1,0,0,
285,.065552376,.024278155,.038366854,3,0,0,
286,.043261725,.094999999,.036607601,1,1,0,432.61725
287,.21744594,.11,.4025178,3,0,0,
288,.37356061,.1259964,.13398775,2,0,0,
289,.14945114,.17028347,,2,1,0,1494.5114
290,.16337502,.11281308,.10187926,1,0,0,
291,.23922931,,.2067157,1,0,0,
292,.063658178,.0625,.055631515,3,0,0,
293,.11547989,.16793056,.13636562,1,1,0,1154.799
294,.033335075,.047499999,.0082921116,1,0,0,
295,.10321281,.10341565,.064040527,1,0,0,
296,.21744594,,.13528781,1,0,0,
297,.34322324,.20278585,,2,0,0,
298,.28711468,.15000001,,3,0,0,
299,.15214208,.10352278,.076310821,3,0,0,
300,.16245468,,.18297401,2,1,0,1624.5468
301,.20449495,.19457264,.23793146,2,0,0,
302,.1737508,.20210046,.12197428,3,0,0,
303,.0415981,.02874813,.10143919,2,0,0,
304,.13944073,,.15705524,1,1,0,1394.4073
305,.035564251,.034226447,.016112147,1,1,0,355.64252
306,.13055201,.11095715,.13305107,1,1,0,1305.5201
307,.048412524,.049517516,.093614087,1,1,0,484.12524
308,.017338565,.01959,.093454123,3,1,0,173.38565
309,.20556036,.17927428,.31573665,3,0,0,
310,.13806872,.10567189,.12914656,2,0,0,
311,.14287765,.1525,.25595084,2,0,0,
312,.048446015,.028922033,.022406947,1,0,0,
313,.2806313,.19047785,.13198689,3,0,0,
314,.01767128,.0275,.0041970881,3,0,0,
315,.16245709,.13724209,,2,0,0,
316,.16832396,.2225,.16179788,2,0,0,
317,.12323137,.2175,,1,1,0,1232.3137
318,.23356146,.17625783,.079113096,2,0,0,
319,.31827462,.1826871,,1,0,0,
320,.1587511,.1525,.14584392,3,0,0,
321,.02270695,.029999999,.0049700998,1,1,0,227.0695
322,.15577161,.1925,.20258443,1,1,0,1557.7162
323,.10736082,.1275,.12841484,1,1,0,1073.6082
324,.17521352,.21923566,.13825618,3,0,0,
325,.09158688,.048237614,.11989592,3,0,0,
326,.024647627,.029999999,.091403782,2,0,0,
327,.018981343,.0425,.09420862,3,1,0,189.81343
328,.1313549,.13500001,.17946748,1,1,0,1313.549
329,.01892761,.01959,.09128388,2,0,0,
330,.16310501,.10220525,,2,0,0,
331,.23922931,,,2,1,0,2392.293
332,.038275894,.090000004,.021746967,3,0,0,
333,.016274499,.035,.094305433,2,0,0,
334,.10034034,.0625,.1250632,2,0,0,
335,.34767255,,,3,1,1,-10000
336,.10475884,.16500001,.10020212,3,0,0,
337,.061386328,.13,.051906388,1,1,0,613.86328
338,.044726525,.082500003,.097800165,1,1,0,447.26526
339,.17808555,.1925,.21380676,3,1,0,1780.8555
340,.070277348,.1025,.057376929,1,1,1,-10000
341,.35313833,,,2,1,0,3531.3833
342,.1819216,.19,.14342462,3,0,1,
343,.096104421,.092500001,.08743006,2,0,0,
344,.14037801,.15406464,,3,1,0,1403.7802
345,.14955775,.15204389,.088692673,2,0,0,
346,.044726525,.0625,.095868759,3,1,0,447.26526
347,.064743601,.095182441,.10430446,1,1,1,-10000
348,.58805996,,,1,1,0,5880.5996
349,.025338732,.047499999,.011924076,2,0,0,
350,.08763513,.046054076,.11209897,2,0,0,
351,.10935176,,,1,1,0,1093.5176
352,.079958454,.09585686,.11602595,2,0,0,
353,.046974931,.024965147,.095322669,3,0,0,
354,.1261394,.15648903,,3,1,0,1261.394
355,.12136201,.10932817,.070806652,2,0,1,
356,.070654601,.062818974,.095868424,2,0,0,
357,.12957937,.185,.19827777,2,1,0,1295.7937
358,.086323731,.15000001,.054640438,1,0,0,
359,.06618531,.1075,.13986775,1,1,0,661.85309
360,.21957605,.2225,.17710778,3,0,0,
361,.034342531,.021107063,.094927005,1,1,0,343.42532
362,.031808458,.059999999,.014736497,2,0,0,
363,.17752953,.2775,.091202773,3,0,0,
364,.39433658,,,1,1,0,3943.3657
365,.15269156,.16249999,.24031667,1,1,0,1526.9155
366,.25297689,.1925,.1443328,3,0,1,
367,.020604374,.01959,.0083002951,2,0,0,
368,.017096613,.032499999,.0033517468,3,0,0,
369,.025288422,.032499999,.0075901863,3,0,0,
370,.042617921,.021356246,.09715192,2,0,0,
371,.042876698,.077500001,.10832267,1,1,0,428.76697
372,.17536752,.1789156,.15999599,3,0,0,
373,.10904092,.097499996,.13361156,2,0,0,
374,.10279992,.1275,.13618132,1,1,0,1027.9993
375,.2199893,,,3,1,0,2199.8931
376,.22433795,,,2,1,0,2243.3794
377,.36487946,,,2,1,1,-10000
378,.20250259,.16842121,.14323406,1,0,0,
379,.26904517,.23103572,.18580578,3,0,0,
380,.017548144,.025,.0034003076,2,0,0,
381,.095929585,.17047341,,2,1,0,959.29584
382,.089567475,.1125,,1,1,0,895.67474
383,.14786361,.16208689,,2,0,0,
384,.061065629,.1425,.096731424,3,1,0,610.65631
385,.43299401,,,3,1,0,4329.9399
386,.10026294,.067500003,.05106524,1,0,0,
387,.3612673,,,3,1,0,3612.6731
388,.072592586,.037822563,.1008094,2,0,0,
389,.070047863,.090525001,.11524078,3,1,0,700.47864
390,.13275774,,.10365196,2,0,0,
391,.035574172,.039999999,.092359051,3,1,0,355.74173
392,.049909681,.030177634,.1083885,3,0,0,
393,.045350894,.067500003,.10549106,1,1,0,453.50894
394,.15589356,.19620527,.13739561,2,0,0,
395,.14184399,,.39469156,1,1,0,1418.4399
396,.041824229,.072499998,.025054045,1,1,0,418.24228
397,.43403018,.19750001,,1,0,0,
398,.16058373,.30000001,.15705524,3,0,1,
399,.3572433,,,1,1,0,3572.4331
400,.24810991,,.30831054,2,1,0,2481.0991
401,.035215162,.01959,.017258648,2,0,0,
402,.63132542,,.75302303,1,1,1,-10000
403,.20855463,.16500001,,2,0,0,
404,.20125633,.1421444,.14174375,1,0,0,
405,.036373179,.052499998,.021701155,3,0,0,
406,.32634872,.1757649,.11074754,1,0,0,
407,.021138297,.01959,.091138899,3,0,0,
408,.24321099,.19544321,,2,0,0,
409,.39722165,.29750001,.48880523,2,0,0,
410,.11244215,.091518156,.11530624,3,0,0,
411,.2559711,,,3,1,0,2559.7109
412,.1578728,.2025,.23753653,2,1,0,1578.7279
413,.046672612,.046749968,.028637482,1,1,0,466.72614
414,.039942089,.028111899,.098110415,1,1,0,399.4209
415,.13233319,.10830661,,3,0,0,
416,.12898114,.14749999,.13179833,2,0,0,
417,.044622287,.022246944,.017847845,1,0,0,
418,.065535143,.072499998,.09676376,1,1,0,655.35144
419,.019327207,.021068795,.092562713,1,1,0,193.27206
420,.093634419,.1425,.1268709,1,1,0,936.34418
421,.091458462,.1014171,.14335003,2,0,0,
422,.17899415,.1987423,,2,0,0,
423,.38010406,.245,,2,0,0,
424,.04691945,.026953707,.10427241,2,0,0,
425,.093831889,.089872636,.10436392,1,1,0,938.31891
426,.034754816,.01959,.093682729,2,0,0,
427,.27536312,.16795875,.1607807,3,0,0,
428,.10842925,.1825,.099637605,3,0,1,
429,.24084286,,.25364193,3,0,0,
430,.32396197,,,3,1,1,-10000
431,.13457169,.048685752,.051696405,1,0,0,
432,.064558513,.037704635,.078593381,1,0,0,
433,.059920419,.079999998,.10483395,2,1,0,599.20416
434,.032448087,.029999999,.094171107,1,1,0,324.48087
435,.037998296,.055,.016891811,3,0,0,
436,.093764402,.115,.093814552,1,1,0,937.64404
437,.15695317,,.14182344,3,0,1,
438,.12176879,.097499996,.063285574,2,0,0,
439,.029174842,.01959,.01841554,2,0,0,
440,.20483217,.175,.12206658,2,0,0,
441,.13672686,.1825,.11091238,2,0,0,
442,.13449511,.12,.06955976,3,0,0,
443,.17054771,.21917486,,2,1,0,1705.4771
444,.016561978,.01959,.0032186077,1,1,0,165.61978
445,.24544832,.1675,,1,0,0,
446,.16486062,.19150804,.21214265,3,1,0,1648.6062
447,.052090257,.059999999,.037563931,2,0,0,
448,.060832642,.090912908,.045445327,1,1,0,608.32642
449,.24995138,,,3,1,0,2499.5137
450,.098942973,.13965124,,3,1,0,989.42975
451,.016848804,.029999999,.0027303149,1,1,0,168.48804
452,.20565054,.2025,,3,0,0,
453,.26423705,.17788713,,1,0,0,
454,.35339659,,.13284978,3,0,0,
455,.16020621,.18719834,.14062406,3,0,0,
456,.1356927,.2825,,2,1,0,1356.927
457,.16295788,.1425,.16885756,3,0,0,
458,.042966027,.045459207,.094767541,2,0,0,
459,.32236004,.16249999,,2,0,1,
460,.35313833,,.27953446,1,0,0,
461,.3572433,,.6297031,2,1,0,3572.4331
462,.078924157,.1025,.060837064,2,0,0,
463,.031500205,.045000002,.011670448,3,0,0,
464,.16962402,.1875,.14163002,1,0,0,
465,.028561559,.064999998,.017258648,1,1,0,285.6156
466,.043503478,.036334686,.094573066,3,0,0,
467,.057739768,.045845281,.10312068,2,0,0,
468,.20554772,,,2,1,0,2055.4773
469,.036141023,.025568478,.094702318,1,1,0,361.41022
470,.32140175,,.23738146,3,0,1,
471,.31388289,.18520048,,1,0,0,
472,.091391169,.21185444,.090883173,3,0,0,
473,.17905022,.11226997,,2,0,0,
474,.021651885,.037500001,.0084596425,1,1,0,216.51884
475,.10608354,.2094778,.079612568,1,0,0,
476,.3572433,,,1,1,1,-10000
477,.055696346,.115,.12862903,3,1,0,556.96344
478,.080374442,.14286155,.14808308,1,1,0,803.74445
479,.01623347,.01959,.0027712749,1,1,0,162.3347
480,.12994426,.1425,.074978635,1,0,0,
481,.030655578,.039999999,.11046159,3,1,0,306.55579
482,.15858293,.1875,,3,1,0,1585.8292
483,.14371234,.1875,,3,1,0,1437.1234
484,.1576432,.1525,,1,1,0,1576.432
485,.23013645,.1925,,3,0,0,
486,.1109735,.1175,.14643565,2,0,0,
487,.089273356,.19566983,.1333203,1,1,1,-10000
488,.083804868,.059911333,.10140692,3,0,0,
489,.052825864,.043456439,.026317749,1,0,0,
490,.2527242,,,1,1,1,-10000
491,.16537927,.18983528,,3,1,0,1653.7927
492,.017263759,.01959,.0034905751,1,1,0,172.63759
493,.14945114,.2,.19521344,1,1,1,-10000
494,.20155109,,.34880647,2,1,1,-10000
495,.15139811,.12,.059505884,2,0,0,
496,.017376268,.0275,.093035512,1,1,0,173.76268
497,.086527355,.15450612,.1245672,2,1,0,865.27356
498,.072593443,.089639619,.039861601,2,0,0,
499,.038699862,.07,.11287994,3,1,0,386.99863
500,.048094075,.043590568,.10928228,1,1,0,480.94077
501,.091392241,.1675,.11302689,1,1,0,913.92242
502,.22095405,,.37541568,2,1,0,2209.5405
503,.16383016,.30000001,.11361138,2,0,0,
504,.019252423,.0425,.093242593,1,1,0,192.52423
505,.13412336,.18340987,.13645256,3,0,0,
506,.034371804,.052499998,.096159428,3,1,0,343.71805
507,.21114008,.1725,.12200795,3,0,0,
508,.325077,.1875,,1,0,0,
509,.064566769,.1075,.10910545,2,1,0,645.66766
510,.1530104,.19626251,.48025918,1,1,0,1530.104
511,.68971086,,.28176254,3,0,1,
512,.071025409,.16063739,.1199076,1,1,0,710.25409
513,.039593145,.07,.017636832,2,0,0,
514,.067450747,.16,.10388147,2,1,0,674.50745
515,.21281996,.1925,,2,0,0,
516,.016542409,.025,.002519218,3,0,0,
517,.046904322,.055,.097487666,3,1,0,469.04321
518,.16635022,.13249999,.090652108,2,0,1,
519,.10384187,.17421868,,3,1,0,1038.4187
520,.01847039,.01959,.0011269229,3,0,0,
521,.053123247,.0625,.11688378,2,0,0,
522,.063558035,.092500001,.023567509,3,0,0,
523,.14566725,.1225,,3,0,1,
524,.033745643,.035,.020364966,3,0,0,
525,.13713279,.1417136,.11588181,2,0,0,
526,.14447452,.18774486,.14735095,3,0,1,
527,.026101636,.0425,.010204783,2,0,0,
528,.016282935,.0275,.09158618,3,1,0,162.82935
529,.23696585,,.20128161,3,0,0,
530,.1314384,.175,,2,1,0,1314.384
531,.20066544,.175,.10193683,2,0,0,
532,.027425988,.045000002,.0032179647,3,0,0,
533,.025012989,.01959,.093014367,3,0,0,
534,.036333136,.055,.022076068,3,0,0,
535,.072719857,.1504413,.068233177,3,0,0,
536,.21281996,.22015464,.12360031,1,0,0,
537,.042161789,.0625,.028579324,2,0,0,
538,.03280763,.0625,.09618412,2,1,0,328.07629
539,.23669873,,.20661971,1,0,1,
540,.055137761,.085000001,.10118623,1,1,0,551.37762
541,.038356427,.064999998,.055270582,1,1,1,-10000
542,.051541042,.094048753,.1135591,2,1,0,515.4104
543,.02237642,.045000002,.098039389,1,1,0,223.76421
544,.025367297,.0275,.093217425,2,0,0,
545,.094634183,.16872738,.12045398,2,1,0,946.34186
546,.1755611,.1675,.142913,2,0,0,
547,.20662911,.17369667,.12876257,3,0,0,
548,.21281996,,,3,1,0,2128.1997
549,.20812756,.18872917,.15833609,2,0,0,
550,.056229047,.06130955,.13567588,1,1,0,562.29047
551,.26667568,.16249999,.22807956,3,0,0,
552,.074830092,.15055558,,2,1,0,748.3009
